Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VS,WBA,WMT
2018-02-01,39.824684143066406,158.67364501953125,93.13473510742188,340.1612854003906,143.35031127929688,112.73999786376953,35.822513580322266,99.96215057373047,107.45206451416016,244.24777221679688,176.3624267578125,137.59060668945312,120.68524932861328,40.98448944091797,121.8036880493164,100.8822250366211,40.473045349121094,151.84622192382812,206.72286987304688,48.88591384887695,88.54427337646484,64.20420837402344,75.02384185791016,132.78945922851562,217.84620666503906,121.42137908935547,69.6719970703125,62.65845489501953,96.29942321777344
2018-02-02,38.0966796875,159.91355895996094,90.04264831542969,332.5087585449219,139.15335083007812,110.77999877929688,35.161041259765625,94.39763641357422,105.7112808227539,233.31072998046875,171.1306610107422,135.005126953125,118.1809310913086,39.69430923461914,119.7680892944336,98.64653015136719,39.85890579223633,149.62025451660156,204.4133758544922,47.82423400878906,86.21463775634766,63.796119689941406,73.62561798095703,130.97463989257812,214.7529296875,116.7758560180664,69.0479965209961,60.59895324707031,95.35031127929688
2018-02-05,37.14486312866211,149.429931640625,85.69327545166016,313.4202880859375,133.48968505859375,107.6500015258789,33.3140754699707,89.65308380126953,101.8212661743164,223.50421142578125,161.54942321777344,129.4204864501953,113.35051727294922,38.292320251464844,113.42650604248047,93.91619110107422,38.28944778442383,144.73532104492188,192.96580505371094,46.06023025512695,82.66384887695312,61.110260009765625,70.83788299560547,125.28241729736328,203.76890563964844,112.29450988769531,67.7040023803711,58.02046585083008,91.34392547607422
2018-02-06,38.69720458984375,151.05462646484375,87.71427917480469,324.88482666015625,138.1990509033203,109.56999969482422,34.50816345214844,93.28314208984375,103.2508544921875,232.10850524902344,168.5457000732422,130.48056030273438,115.438720703125,38.889827728271484,114.67916870117188,96.77340698242188,38.101810455322266,145.91014099121094,194.79173278808594,45.29255676269531,85.79193878173828,61.897987365722656,71.99142456054688,124.68931579589844,208.54779052734375,115.86798858642578,67.8479995727539,59.14082717895508,92.08313751220703
2018-02-07,37.86881637573242,151.7558135986328,87.18341064453125,331.755859375,136.3700714111328,110.05000305175781,34.65420913696289,91.77857971191406,101.87962341308594,230.6729278564453,168.76622009277344,130.2995147705078,114.33145904541016,39.140953063964844,114.32249450683594,97.42942810058594,38.007991790771484,146.37838745117188,194.4249267578125,45.635562896728516,84.17622375488281,62.28710174560547,71.51953125,125.83128356933594,209.14048767089844,115.5589370727539,64.27200317382812,58.9266242980957,93.86273956298828
2018-02-08,36.82678985595703,148.0360870361328,82.27522277832031,315.71441650390625,128.99229431152344,104.02999877929688,33.30549240112305,89.3983383178711,98.56336975097656,221.02792358398438,159.88192749023438,125.84387969970703,110.7593002319336,37.01938247680664,109.9207992553711,93.12206268310547,36.76265335083008,140.42462158203125,185.83717346191406,44.696388244628906,79.85517883300781,59.30703353881836,70.10382080078125,119.51934051513672,200.4718475341797,109.96690368652344,69.57599639892578,56.19983673095703,91.28002166748047
2018-02-09,37.27723693847656,148.3268585205078,85.42317199707031,318.7503662109375,131.83738708496094,106.9800033569336,33.95836639404297,90.35362243652344,100.25553131103516,223.6747283935547,162.4404754638672,127.464111328125,112.20018005371094,38.05852127075195,112.67839813232422,94.986572265625,36.78824996948242,142.04112243652344,187.77145385742188,44.81072235107422,82.83294677734375,62.154239654541016,69.84165954589844,121.35185241699219,204.6394805908203,112.34278106689453,69.5999984741211,56.397560119628906,90.68684387207031
2018-02-12,38.77871322631836,149.5325469970703,88.1985855102539,329.2562255859375,134.55874633789062,108.55000305175781,34.877559661865234,90.73573303222656,100.54728698730469,227.13792419433594,162.38751220703125,128.81719970703125,113.61854553222656,38.820556640625,113.32212829589844,96.45401763916016,37.50474548339844,144.77952575683594,191.08987426757812,45.2680549621582,83.72532653808594,62.6192626953125,71.07386016845703,122.29020690917969,209.0201416015625,114.4192886352539,60.2400016784668,56.397560119628906,90.85111236572266
2018-02-13,39.167198181152344,150.44752502441406,88.06819915771484,328.64337158203125,136.043212890625,107.69000244140625,35.41875076293945,90.18643188476562,101.25721740722656,229.26429748535156,162.08758544921875,127.98126220703125,113.13075256347656,38.500152587890625,113.0524673461914,97.04962921142578,37.692386627197266,143.45448303222656,192.8990936279297,44.8352165222168,84.38289642333984,62.51488494873047,71.22240447998047,122.67974853515625,209.8999481201172,114.30335998535156,60.720001220703125,56.25751495361328,92.15617370605469
2018-02-14,39.88933563232422,154.66921997070312,89.62354278564453,330.26190185546875,139.65696716308594,109.0199966430664,36.15753936767578,90.45710754394531,101.72401428222656,235.58961486816406,162.94332885742188,129.60145568847656,116.14006805419922,39.29682159423828,112.80017852783203,99.2939453125,37.615623474121094,141.32565307617188,193.43270874023438,44.8352165222168,85.70417022705078,64.49840545654297,70.50581359863281,124.46797943115234,211.8818817138672,116.69860076904297,60.720001220703125,56.75469970703125,92.81324768066406
2018-02-15,41.22875213623047,158.18446350097656,89.93087768554688,341.3807373046875,141.3534393310547,113.12000274658203,37.867061614990234,90.47319793701172,102.28807067871094,240.16542053222656,163.45510864257812,132.22137451171875,117.07813262939453,39.76443862915039,114.1572265625,99.70826721191406,38.195640563964844,142.02346801757812,196.98031616210938,45.72539138793945,87.45016479492188,64.81160736083984,72.01764678955078,124.71583557128906,209.3257598876953,118.30462646484375,67.51200103759766,57.823665618896484,94.20953369140625
